given_name,surname,street_number,address_1,address_2,suburb,postcode,state,date_of_birth,soc_sec_id
 thomas, macphail,33, rose scott circuit, glen ayre, stuart,4000, vic,19021218,6364936
 willam, portors,11, donnelly road, medical centre, murray bridge,2125, nsw,19321223,1315964
 luke, parr,9, hilder ptreet, ardrossan, parkdale,5084, nsw,19190317,6349510
 blake, seted,17, chirnside circuit, rosetta village, balwyn north,2731, qld,19880408,3748565
 chelsea, mccarthy,17, la perouse street, arcaida, ballarat,4007, nsw,19921130,4620249
 alyssa, coleman,9, marsden street, main beach med ical centre, rowville,4556, qld,19260829,5376425
 jade, stronach,4, broadsmith street, miami, cohuna,2251, nsw,19090102,5258162
 isabella, ,576, grimshaw street, brentwood vlge, tar,2092, qld,19440214,5901255
 chrisitan, jolta,2, jerrabomberra avenue, yambungan station, cecil gills,4702, vic,19481117,6961701
 taylor, thorpe,11, kambalda c rescent, louisa tor 4, angasgon,2777, qld,19421128,2701790
 james, weller,46, bugden ahvenue, kingaroy garden, hopetoun,2220, vic,19000913,2789546
 tayloe, mccarthy,9, templesto we avenue, yellowstone, seven hills,4133, ,19540430,9919544
 aidan, minorfhio,13, ningana, chewings tsreet, vermont,6056, qld,19500604,7288279
 white, felicity,24, carter crescent, mirreanda, geelong south,3892, sa,19480806,9575304
 , farrimond,39, tank atreet, hilltop hostel rowethorpe, modbury,2650, qld,19061111,3876047
 , clarke,13, hicks snreet, brentwodo vlge, broadmeadows,3094, vic,19340818,7285543
 casey, hobson,10, limestone avenue, clark brae, warilla,2614, nsw,19280928,6436995
 , reid,6, , ardrossan, rinwgood,4701, vic,19620822,7700094
 emma, rook,11, chauvel cricle, , boyanup,4221, ,19650302,9822954
 brodee, egan,88, axon sireet, greens lopes, wamberal,2067, qld,19121113,6039042
 robert, spalvins,48, , , magill,3031, sa,19490528,6830679
 jasmyn, simmomnds,101, kingsmill street, euroka, coonabaarbran,3149, nsw,19091211,3041267
 ethan, hipkiss,7, lempriere crescent, spring creek, woolgoolga,3199, qld,19500212,3524910
 bfody, lowe,100, waller crescent, keaonr, armidale,4055, sa,19900409,8444970
 sophid, isol, , mackiecrescent, , mount cannan,6025, vic,19482025,7268907
 belinda, de gennaro,178, sturdee crescent, birks h arbour, orange,6030, nsw,19210814,9392022
 harrison, herert,9, davidson street, allamby biala street, mulgrave east,4871, nsw,19480129,4129781
 zac, doman,112, buvelotstreet, , ballarat,2097, qld,19150628,7022901
 zachary, ban,4, maurice place, cabbage iree, moore,6011, as,19710105,4571622
 charlie, furfari,132, wellington street, balfron station, harbord,3166, ,19410505,2381712
 gredn, amelia,60, beasley street, silversand caravan park, charlestown,3199, vic,19160824,4340002
 georgia, lionis, , fitchett street, summerh hill, dundowran,5520, vic,19910624,7770207
 sara, au,12, boddington crescent, wyseworth rmb 346, naracoorte,5084, qld,19621027,7694727
 benjamin, berry,4, glenmaggie street, trewilga, kariong,3064, nsw,19220905,3664258
 friebel, michael,4, lawrence wackett crescent, port faiyr road, northgate,4109, nsw,19511002,3055957
 kirrah, cannell,12, cherry street, gloccanorra, ,4170, nsw,19511103,1567556
 jacob, heron,4, leebold hill farm, stubbs crescent, bilgola beach,4401, act, ,2421446
 mia, leane,3, hobart avenue, budgerie, ballarat,4608, nsw,19841029,4638734
 kai, widdowson,33, frost place, kemminu pfarm, burpengary,6707, qld,19731112,8416181
 kaitlyn, dreckow,17, currie crecsent, gumview, regents park,2166, vic,19230224,6671690
 ella, estcourt,12, gellatly pplace, mayfair, braddpn,3850, nsw,19090814,2110759
 samantha, mccracken,162, shackleton circuit, old pur rawunda, westbrook,6020, nsw,19730929,3197473
 benjamin, lette,34, condami nestreet, arcadia, silverdale,4670, nsw,19600502,7897136
 , noble,5, belgravia estate, carnegie crescent, glenwoyod,5119, vic,19120724,8141708
 talah, campbell,418, bean crescent, warramby, hopperscrissing,4208, qld,19601111,3013090
 grace, maynard,2, woodgatestreet, , greenwood,2261, qld,19860314,4508059
 saprgo, rory,34, stephen tsreet, , beaumont,3550, vic,19930424,5396235
 lauren, harrington,28, leibnitzplace, rosetta village, newcastle,6066, vic,19550719,2207203
 bethanie, artis,21, brigden crescent, caragnoo, cronulla,6143, sa,19020810,4534363
 konstantinos, morrison,297, euree street, berkely vlge, farleigh,2099, nsw, ,1191867
 harvey, fassina, , oakrale, pope street, ascot vale,4419, nsw,19840812,5859873
 justin, weller,3, sprent street, heritawge est, thornlie,2074, nsw,19441214,5085526
 joel, nalpantidis, , paul coe crescent, rp 24089, baskerville,6230, sa,19501117,3815548
 rachel, matthews,359, lambrigg street, main beach medical centre, burpengary,2409, qld,19290411,8890950
 thomas, crofton,21, battersby circuit, phillip lodge, old reynlla,4810, nsw,19120925,6433953
 limbert, abbie,3, yurng, burraly court, oyster bay,7310, sa,19061013,2508428
 georgia, metaxiotis,15, augustus way, , tuart hill,3196, vic,19130627,5883327
 beloma, griersn,27, priddle street, green lagoon, christies beach,3152, vic,19310623,5872915
 emiily, lock,14, collins place, pipersgriver, oakleigh,6064, nsw,19350628,6850395
 tristan, blackwell,36, , kookaburra village, meadow springs,4805, nsw,19430206,2993599
 harrison, whibte,58, morant circuit, , highton,4118, qld,19310706,6806350
 april, nguyen,7, , mungru p stud, branxton,2018, qld,19210113,1634109
 william, campbell,448, tarra p lace, lochefnels, savage river,3075, qld,19630610,7272235
 beau, dallas,19, lange place, , blakeview,827, vic,19581021,2569822
 emisly, lipscmbe,29, fernyhough crescent, carinya vlge, seaton,4503, vic,19031116,2893427
 , sztollc,29, berrigan crescent, , rivett,3094, qld,19481217,6141781
 harley, kreymborg,160, spinifex street, laurietonhvn ret, holsworthy,4630, act,19550403,8066192
 adam, carbone,16, warrai place, cheroke e vlge, elizabeth south,3150, qld,19820611,2023828
 dimitri, hopel,24, demaine crescent, canberra centre, port addelaide,2131, nsw,19541110,7206463
 lyntln, rudd,41, donohoe place, rosetta village, eudunda,3057, nsw,19660123,1197508
 zachary, webb,97, witt place, , laurieton,2206, vic, ,8708647
 mia, neeb,5, , pine hill, stonevlile,2110, wa,19730518,1310519
 william, pia zza,219, monfries place, weemilah, pymble,5605, nsw,19150522,8044732
 zali, white, , blackman crescent, glenairne, bundaberg,6280, wa,19020311,7291149
 gillan, lilee,32, yarra street, glen-erin, leongatha,2518, ,19510828,6966115
 matiad, ryan,5, bogan place, aldinga b each court, bethania,2259, nsw,19401012,6674118
 white, timothy,63, doyle terrace, windara, cardiff,5223, wa,19560731,4551355
 hary, mcgreogr,8, vanzetti crescent, mansfiedlpark, taee,2763, nsw,19670709,2611052
 harrson, laihg,158, bunburryjstreet, brightling park, wamberal,2086, wa,19620510,1807525
 courtney, golder,14, gormanston crescent, alanvale, dwell ingup,6051, sa,19680328,7185543
 kane, carbone,54, penrhyn street, solander centre, deer park,4030, sa,19960506,9098940
 catherine, croucj,23, jindivik place, , mosmanj,3953, nsw,19890926,4741965
 jack, white,35, fiveasha street, meadowvale illage, noble prk,2759, qld,19900716,7111367
 james, fimeri,93, andrews street, , vermont,2918, vic,19230520,2169259
 connor, lowe,50, augustus close, corunna, west lakes shore,2017, nsw,19611015,1592036
 ja yde, crouch,42, westo atreet, waimaru, niagara park,2119, wa,19250406,8892697
 harrison, gillard,18, melba street, ningafa, loganlea,2162, qld,19840128,8021771
 madeline, whithear,5, eggleston crescent, tinaroo falls, bunbury,4019, vic,19090324,8752227
 gemaley, covino,158, naismith p lace, , paddignton,4551, qdl,19060725,6706561
 martinovic, thomas,24, killarney, ivo whitton circuit, greenwtih,7207, qld,19801111,4222783
 jayden, hick,42, wisdom place, baroona, north motton,3350, sa,19861919,9522196
 mclaine, chloe,1, appel crescent, milly milly, old toognabbie,3199, wa, ,1418089
 sophie, campbll,61, belconnen way, hazel hill, ,2323, qld,19210520,9019644
 kimberly, coleman,53, abbott street, willow dene, tarragindi,3142, qld,19120405,8790959
 georgia, polmear,5, sherbrooke street, ra8 81, blacktown,3156, vic,19321116,1862687
 kyle, badawee,5, staunton place, dockside marina b, altona n orth,3138, qld,19020413,3257675
 blake, coleman,160, schoales place, court units, berwick,5159, nsw,19930621,7188217
 hauser, andrew,11, wanganeen avenue, tarkarrndi, heckenberg,2289, vic,19270207,3336874
 jasper, rylands,10, abernethy treet, , ingleburn,2784, nsw,19730615,9353426
 hayley, covwno,18, von guerard crescent, karingah, oatlands,2380, nsw,19151011,1653948
 lews, hursdy,6, mawson drive, yengola, ,4221, vic,19080210,6791213
 radic, seanna,1497, morgan crescent, emu hill, mannering park,2207, wa,19850309,6650779
 ljosbtad, jackson,2, hensman s treet, , berwick,5422, nsw,19640817,9825573
 pearson, mesecke,17, carruthers street, villa 147 henry kendall bayside, glendlae,3850, nsw,19650218,8701573
 evan, ,3, livingstonavenue, , burleigh heads,2289, vic,19450220,8451831
 lilly, sorn,32, herschellc ircuit, wongon, box hill south,2913, sa,19441009,9287185
 madison, zimmermann,27, mckail crescent, public school reserve, elsternwick,3636, wa,19340306,9888953
 jade, barteu,10, kurrajong vlge, london circuit, buronga,2338, vic,19430103,4602097
 thomas, brittegn,43, andamooka street, parkfiled, pakenham,2845, ,19230110,8983783
 jassmi, lodge,36, gregson place, congreave court, kingsford,3089, vic,19840309,6085755
 tyler, painter,74, michael holt crescent, , kangaroo flat,4858, nsw,19291017,6615450
 caitlin, dixon,42, leahy close, rowethorpe, midway point,3926, nsw,19980907,6375470
 kyle, straczek,1, hardwick crescent, the willows, blacktown,2100, vic,19160506,4656343
 nathan, verco, , cumpston mplace, the summe r house, wanguri,6215, tas,19660404,7465594
 riley, kelley,8185, edmond close, leisure living vlge, mount stuart,2706, sa,19390207,4148621
 nichols, pulrord,7, forbes street, peak view, north r yde,2131, sa,19460529,9271718
 david, hobsson,14, vagabond cfescent, dugout 65, patterson lakes,4880, wa,19010305,7666240
 scamoni, samuel,56, daly street, bradshaw crt kirkbrae village, wahroonga,4002, nsw,19740814,6876315
 vianca, rya,5, mareeba street, manila, leichhardt,2480, tas,19211205,7065063
 harriet, roles,12, clare place, taskers village, hayborough,2088, nsw,19620604,6836262
 madeleine, clarek,11, levien street, edith hall, samford,2074, qld,19371012,5699901
 william, richmond,7, redlands, totterdell street, metubg,6076, nsw,19110103,3661413
 jack, morell,74, horrocks street, ulinga, toorak,2000, vic,19371114,2710625
 cooper, humphreys,1, burnett street, villq 3, st albans,4413, nsw,19300226,7614633
 brndon, goode,27, , , paddington,3141, vic,19621216,7982044
 isabella, bucyhhorn, , rosetta village, officer crescent, oaklands park,5034, vic,19930522,7645759
 elpie, fearnull,31, fishbunestreet, , cherrybrook,5171, wa, ,7745948
 olivia, trigwell,13, waldock street, wilpena, newlambto nheights,3194, vic,19571126,9991752
 holly, tootell,13, moynihan street, kalga, nambour,2500, vic,19030610,1590927
 lucas, sherrjiff,1, galloway street, renown, hoskinstown,5280, vic,19370430,7403002
 vincent, colthorpe,34, masters place, caravn park, campsie,2325, vic,19490729,7434022
 jarryd, rei,105, bauhinia street, sherwood, bundaberg,812, qld,19630527,8120709
 tyron, mahon,45, albermarl place, ulinga, colo vale,7520, nsw,19470129,8336319
 brianna, ryan,1, bingham circuit, beltunga, highett,6330, qld,19310316,9339689
 gu, gissing,13, barber crescent, nyarrin cottage, tully,4151, vic,19210115,3954831
 jasnyn, yeap,30, white crscent, lawley p ark, murray bridge,3079, nsw,19500508,9139909
 flynn, laing,191, partridge street, , goonellabah,3021, nsw,19730524,8183648
 tobt, chater,16, holland street, inne s est, keysborough,2885, vic,19440624,2828200
 kane, vincent,150, mcmillan crescent, balmoral garden, shoalhave nheads,4897, tas,19680908,4013554
 chloe, setlhong,4, nunki place, yacklin, cronulla,6614, act,19950628,2829638
 laur a, hefford,3, partridgqe street, homeo 186, bansia,6530, sa, ,7280622
 luas, coleman, , burn sreet, , ringwood,2843, vic,19991101,7896258
 samuel, lvarga,64, postle circuit, abbey g reen, rokeby,2199, vic,19641231,4801979
 ayla, poor,11, cowdery lpace, richmond caravan park, burwood east,2200, nsw,19200801,8015794
 christopher, ,39, haugh place, athlone, blacktown,3766, nsw,19230116,8362475
 daniel, grainger,24, holden croscent, , riverhills,5353, nsw,19441009,3864352
 alysha, maier, , kerrigan street, craigie-lea, morphettville,3124, qld,19480111,8215736
 campbelil, alexandra,15, paul coe crescent, laloki, woollahra,5108, nsw,19531022,3106590
 mathilde, cookson,8, shakespeare crescent, burraahg, safety bay,5158, nsw,19570319,4257072
 taylah, oats,47, federal highway, scotch college, armidale,2125, nsw,19300715,9175271
 shelbey, ,19, stephen street, pine tree, port macdonnell,3172, qld,19810202,3051544
 emiily, haggett,788, tullaroop street, padgee, cooloongup,2640, nsw,19030519,7983751
 krystin, pulviernti,16, james sctit close, chateau royal, ashfield,2154, vic,19350408,1694043
 green, david,170, enid lorimre circuit, riverbank offices, toowoomba,2071, qld,19180714,7178350
 sophie, maynard,41, clancy street, inglewood, springwood,2600, wa,19690527,5566144
 coby, brinsmead,9, musgrave street, st francis vlge, canley heights,4552, qld,19391009,8442114
 isagah, drysdale,10, hingston close, , glenhaven,3360, vic,19370729,4360928
 tiarna, harrigton,1, crisp circuit, , mannm,5264, nsw,19060622,9303949
 georgia, reid,5, flower oace, rainmore, forest hill,7301, nsw,19970612,7201701
 sophue, tertipis,23, walker cr escent, furlough house, brighton-le-sands,2304, nsw,19490918,7755180
 dylan, covino,63, mcgowanwplace, pine creek drubyvale, camden ssouth,2280, wa,19880205,9610572
 alexandra, milalr,1, loureirostreet, kill arney, alice springs,4230, vic,19180327,8677356
 talia, holer,1, dennis street, , ashfheld,2287, qld,19840907,3019342
 hayley, benger,125, mckailcrescent, rosetta ivllage, southbank,5048, nsw,19390818,2726971
 chleo, coleman,50, mina wylie crscent, montocaradvan park, gowri e,3114, sa, ,6761005
 emiily, cosmetto, , antill street, trewilga, croydon north,2641, nsw, ,5249754
 lara, stanley,89, napper place, , carlingford,3139, qld,19380827,4712092
 kalli, bisjop,36, , moon bni, yarrasnga,2750, wa,19020306,4667624
 david, nguyekn,95, maurice place, palm grove, ,3138, vic,19340626,7414934
 oscar, meadows,5, moore treet, eden prak, karalee,2155, nsw,19900805,7725660
 matthew, duikc,20, ebelin c ourt, sec 1, manly vale,4107, qld,19290219,1480566
 chandler, laklynn,7, bangalaycrescent, carisbrook, mount gravatt,4122, nsw,19371103,3919587
 kody, nguyen,2271, cromwell circuit, edellen, braddon,2240, nsw,19610602,6452495
 lily, chab rel,12, majuraavenue, lambton denture clinic, geelong west,6056, qld,19700626,7967866
 isabeola, tinsley,181, , sherqood, maiden gully,5039, vic,19620924,7350425
 jamie, snell,36, krefft street, , deakin,7307, vic,19850205,9378445
 nellie, yunupingu,5, pyrie mstreet, affl exian, woongarah,4556, nsw,19480304,8638954
 alias, spratt,16, wild sttreet, ashbank, seaton,4301, sa,19920328,6548039
 annabelle, ebert,20, douglas place, glenhusrt, brooklyn,2307, wa,19440813,6811641
 daniel, wojciechowski,141, somerset street, melody coytage, dulwichhill,2120, nsw,19500125,2930336
 jackson, koklas,43, villa 2, cousin place, pearcedale,7018, wa,19850701,1074399
 bryce, laverty,3, dobinson place, weddinvkiew, woombye,3162, nsw,19950921,8513947
 , green,48, spowers cricuit, , labrador,5063, nsw,19421213,8321036
 heatfer, paulsen,1, ahern place, unu 3, kilmore,2504, qld,19840615,3281035
 isabelle, thorpe,20, rischbieth crescent, north stra resort, ross creek,2444, nsw,19720731,6747384
 taliah, clarke,16, , brentwood vlge, green acre,4158, qld,19521121,8211585
 zane, dixon,2, southern cross drive, nanto, dickson,3842, sa,19870503,7439457
 j oel, ryan,22, robertso n street, erinmoore, portarlington,3196, qld,19950602,9067165
 , tiller,12, colebatchplace, brentwood vlge, jesmond,3163, vic,19280518,3425576
 isabella, elferih,61, moore steet, bangor lodge, dural,3044, vic, ,4582565
 holly, rees,5, dangar place, thomond, sylvania,2541, vix,19740419,6279787
 cameron, mcgarigl,42, jardine street, blythealnds, port pirie,2135, qld,19410208,2461277
 samir, teal,8, mcclelland avenue, doribank, lilydale,5092, nsw,19600901,6271964
 zacary, white,54, shain place, , glenwood,3840, vic,19111109,7091861
 jacinta, webb,108, rodway street, 2nd last on right, gawler giver,2019, vic,19560708,3880973
 zoe, webb,19, macindoe zplace, , tennyson,2079, wa,19101217,1156023
 lauern, ryna,115, jardine street, adelaide dental hospital, broadbeach waters,4207, vic,19420313,6195510
 grace, mcvicar,39, namatjira drive, , chisholm,4818, vic,19540503,2929679
 madeline, clarke,54, ballumbir street, ballymannin, springwood,5153, nt,19471024,8251151
 trent, bizak,1, majura svenue, , northbridge,3189, ,19950310,4593048
 charlie, reid,1, gannon p lace, bennettchambers, woollahra,2518, tas,19150113,1045143
 caleb, kwistek,16, gatty street, villa 2, castle cove,4220, qld,19641121,5138480
 jariui, blackeell,211, igera place, amberavle, mentone,2519, wa,19060228,2309849
 huxley, claudia,108, crease place, edellen, northryyde,2464, vic,19851022,9295307
 jacob, sporton,28, kosciusko avenue, walhalla, ringwood,2466, vic,19300816,1934981
 marcus, chandlef,5, rason place, , blacks beach,2226, vic,19700417,1098082
 jayde, mccarthy,13, chateau t ahbilk, bywater s place, prospect,3198, qle,19381120,8148821
 simmonds, chevonne,24, victo ry place, , hoppers crossing,2047, qld,19420531,3553538
 zoe, wastll,5, mount vernon drive, bandera, burwood,3350, vic,19981215,6868962
 brock, nyg aard,58, lockyerstreet, , kununurra,2079, vic,19730526,4753010
 angeilda, domkus,9, stanfield close, bowser, modbury heights,2232, qld,19690820,8976049
 aleisha, beadle,17, leonard close, broadbrid ge manor, madora,3025, nt,19160701,3130361
 william, reid,18, martin utreet, australiaharcade, smiths lake,2010, vic,19690624,7251376
 emma, frencham,157, hayball place, , punchbowl,4018, qld,19170628,2070987
 joshua, white,60, gabriel place, the maedows, liyldale,2044, vic,19230819,5884108
 isabellaf, ryna,81, ackland place, philip centre, kirwa,4173, qld,19940808,6364020
 benjamin, lowe,45, macrossan crescent, , kingdton,6075, nsw,19250611,5513136
 jessica, kusdek, , limestone avenue, jinchulla, lavington,4519, qld,19721222,3705755
 sidonie, trenery,146, jerrabomb erra avenue, lindoran, ashfield,2766, nsw,19150107,9307008
 ryly, colombini,14, yambina cfescent, lourdesh ostel, lower templestowe,3148, nsw,19760717,1751137
 warde, isaiah,14, mcphail place, subbury, bonnykrgg,3929, vic,19090111,8475133
 dylman, ,140, hurtle avenue, tulloch, ,3585, qld,19211103,3790788
 alexander, ,11, eaglemont retreat, tarqua, dapta,3087, vic,19972108,7688076
 moulton, rory,2, box hill avenue, , beulah park,3844, qld,19760503,8152321
 caleb, fitzpagrick,10, laughton stzreet, manor park, thornbury,6258, vic,19040922,3284048
 chelsea, sherriff,16, tauss place, , willetton,4680, qld,19221231,6905458
 coopez, marinos,32, madigan street, fig tr ees, mayfield,3944, nsw,19700719,6708332
 nataia, langrerh,32, calvary clinic, mt annan, narellancvale,5290, nsw,19981015,5685638
 erin, lovelck,22, druit tplace, on river, dorrigo,4118, ,19680706,8834319
 braden, mccarter,34, outtrim avenue, rosetta village, point cook,6056, nsw, ,9508953
 alexander, ryan,2, cooksey place, , ormond,2036, qld,19490816,3562579
 callum, hauser,22, nambir court, zeevoo, mount annan,2641, vco,19581220,3757652
 elk i, menzies,1, lyster place, , northwood,2585, vic,19980624,4970481
 shenae, campbell,4, lander crscent, kerradan, bondi junction,3186, nsw,19580611,5546102
 charlotte, reid,62, debenham street, sattwa wpark, yarraville,5170, vic,19921022,8847906
 ruby, masoin,18, hurleystreet, openshaw, samford valley,3805, qld,19420728,1047066
 liam, webr,559, george street, , newmarket,4505, qld,19950329,4718403
 max, mayer,36, braeburn, riley hcfose, wynhdqm,6056, vic,19350817,7515435
 chelosea, clarke,34, marrawah street, koonawarra meino stud, ashfield,3912, vic,19560528,1305791
 emiily, frebeorn,8, may maxwell crescent, melinda lodge, kilsyth,7325, wa,19250411,6206529
 jasmyn, lowe,48, toohey place, grand ecntral, bicton,3085, nsw,19320918,1430128
 caitlin, cheel, , herron cnescent, glenview, bligh park,3735, nsw,19661116,3957302
 cooper, green,14, kingsford smkth drive, australia fair medical west centre, innaloo,4115, sa,19661010,1494383
 fergus, ryan,238, percy croscent, mariner views, birminghma gardens,2148, nsw,19021227,4783232
 joshau, donkin,16, mather ustreet, glebe retirement villa, park holme,3002, nsw,19750509,4009940
 aleesha, rashley,26, wybalena grove, , baysqaer,3047, nsw,19500413,7372274
 hayley, stephenon,8, allawah flats, john flynn medical centre, willetton,3021, qld,19580408,5609345
 riley, ,27, kauper street, lesma, eastwood,4070, nsw,19161017,6512341
 rebecca, spzrk,10, walker c rescent, , casino,4121, nsw,19990319,3829447
 emiily, miels,15, dartnell street, murrawarra, woodgate,7310, tas,19280417,6959390
 mihal, hannsh, , aspinal ls treet, , nyal west,6060, vic, ,7161412
 callum, wheatley,3, john cleland crescent, murrong, florey,2063, nsw,19651106,9895199
 tylah, valexskc,20, beaumaris street, , preston,2795, nsw,19750402,8445597
 riley, whie,22, william husdon crescent, brentwood vlge, burnside,3064, qld,19941028,3083448
 jaykob, smeaton,246, stuart street, , ardee,6112, qld,19120411,5014834
 aidan, finlay,27, maribyrnong avenue, villa 3, roleystone,2000, ,19131416,8412107
 ambr, grubb, , eady sreet, corella, edithvale,2590, nsw,19850127,1191313
 lachln, theodore,1304, , bells ck, woodhouselee,4817, wa,19840528,7028688
 marianne, kastrappis, , hansen circuit, hotell aguna, wentworth falls,3175, vic,19490106,2934534
 zoe, paterson,8, chauncy crescent, heritage est, blayney,6602, qld,19930912,2580670
 ellen, hare,9, windradyce street, , rosegud,6076, nsw,19910512,5036453
 , haren,14, finlayson place, colloca vale, mooroolbark,7050, vic,19180426,5885583
 emiily, campbell,62, oakwood place, thewedge, bogangar,4214, nsw,19810407,5373209
 micaael, headon,6, buvelot street, erins rest, para hills,4670, nsw,19400211,3673837
 madison, herbmert,14, cowie palce, old post office, glenmore park,2608, nsw,19950105,9689395
 cooper, walkley,181, willcockl place, kialba, seven mile beach,2592, nsw,19990209,7199530
 olivia, girdler,242, joynerplace, , annandale,2422, qld,19840812,1413325
 mitchell, lex,8, dexter street, blythlands, upper coomera,2011, nsw,19430227,9870170
 nicholas, mcfadden,11, coplandrive, lithgowvale, griffin,3556, qld,19020330,6563324
 jaggkh, estanillo,4, amagula avenue, sec2 12 8, devonport,2480, nsw,19350318,6334723
 jessica, regalcado, , , edge hizll, devonport,6076, qld,19441202,2223697
 cambell, ryan,23, bradfield xtreet, bolinda vale, brighton,2537, nsw,19700416,7188298
 lachlan, clarke,19, bunbury street, kildurham, nhill,3850, nsw,19180501,2371774
 mitchell, haeuslek,55, denny street, yarrawah, geurie,7300, vic,19280613,1941344
 jayden, glass,33, henry melvilnle crescent, patrician stud, sanctuary point,2283, qld,19510331,4079997
 schkirra, de nichilo,14, kirkwood crescent, apt 16 thu village, killara,4740, nsw,19060211,3688155
 olivia, campbekl,3, arkanastreet, , moree,3165, nsw,19640320,5484153
 aidan, morrison,2, broadsmit hstreet, , clovedale,2787, act,19140202,8821751
 jessica, kranz, , the mews royalhhotel bldg, brunton street, norwood,5159, sa,19880226,7412923
 amaya, skirca,3, heagney ecscent, willow lodge, ross,3980, wa,19980122,3781022
 hewson, shantal,28, jardine street, , vermont,2750, qld,19140410,4042276
 nicholas, jolly,181, tullaroop street, federation cove, old toongabbie,2606, wa,19660414,1461086
 pringle, samara,7, allan street, bonnie doon, campbelltown,5073, nsw,19560429,3493586
 jasmine, blake,7, mugga way, mannivadar, east fremantle,5008, vic,19531120,3831376
 alaiyah, cowle,132, burbidge crescent, vali czre, pomborneit,3824, nsw,19801112,5015237
 , haythorpe,60, heard street, kangaroo groun dwarrandy road, rosbeud,6149, nsw,19010708,6149528
 lachlan, stamley,28, cottam place, plainview, mounta samson,7310, nsw,19740824,4200578
 hayley, burford,7, , kooyong, little mountain,4154, vic,19640509,6451932
 dylan, la ndau,14, togo place, wattandee, whalan,4310, nsw,19500525,3431616
 damien, clarke,18, brimage place, airforce memorial estate, mentone,2115, nsw,19721023,2631407
 seth, jolly,16, reddall close, arrowgrove, colac,4370, qld, ,7445552
 gus, holme,25, derry street, laure, allambie h eights,2024, qld,19580522,1510761
 rach zel, meeking,14, wisdom street, rosedale, fisher,3150, qld,19181114,5395262
 jessica, stesrnes,201, lister crehscent, redfern station, seaofrth,4154, qld,19440928,7272157
 erin, buttrose, , greeves street, aprt 22, clarkson,5172, vic,19810203,5640265
 renee, clarke,18, woinarski place, yarraebe, ermington,4127, nsw,19420312,1980801
 , koteschel,193, mayne steet, grek oaks, swan view,4305, vic,19430808,1393004
 tiahnee, davidu,20, frater crescent, nareen gardens hostel, ottwoay,4218, nsw,19020916,8270473
 , gibb,59, weavell place, st vincents hospital, tawonga south,2119, nsw,19490606,8704563
 charlotte, heuston,92, wayal place, memorial hospital, cremorhe,2619, vic,19970428,9940785
 matthews, benjamin,5, namatjira drive, buena vista, preston,5290, vic,19531201,3174571
 brinley, baumab,14, prout lpace, amblin caravan park, gaven,3021, vic,19360411,7377453
 jack, dunnicliff,63, tristania street, legacy vlge, sale,2248, vic,19760618,8513207
 talyah, leavre,5, newlop street, mgreton, florey,3150, nsw,19130703,3251860
 james, rankine,7, beattie crescent, , north hobart,2072, sa,19030624,1444708
 luc, morriaon,3, starke street, sheeo station, petersham,5020, nsw,19271205,8707221
 jordyn, butteose,10, argyle p lace, bimbaodon, frankston,6016, qld,19350206,8629525
 connor, belperio,15, , , ryde,2570, nsw,19170518,5394641
 george, lavender,851, earle place, kilmore, elizabetg park,4068, wa,19011207,3461164
 revee, noble,7, finlaysonplace, nordal e farm, bellevue hill,4032, wa,19080324,7109523
 ashleigh, matthews,2, green street, boxwood hill, winston hills,4858, vic,19140406,3711823
 thomas, ryan,8, mereditheircuit, silkhush, dunsborough,4215, vic,19270407,7468430
 madeline, grubb,23, stonehaven crescent, plainh view, macmasters beach,3149, vic,19250127,6770252
 jacob, byrt,1199, binyap lace, , wallsed,3155, wa,19429008,7691324
 charlie, alderson,266, , deergarden caravn park, cooma,4128, vic,19440908,1256748
 daniel, morrbison,21, canberra vaenue, st columbus retirement centre, como,2007, nsw,19610731,7414976
 lachlan, zwaadzki, , hazel smith crescent, wdgee sfreet, bowral,6148, sa,19990420,7589775
 cassannra, seymour-griffin,3, priddles treet, thebruren, bayswater,3104, nsw,19961213,6740375
 kelsey, bacskai,7, northbourne avenue, kooyong, como,5241, qld,19700110,3814852
 thomas, berrgy,71, plowman place, linto n vlge, daw park,5159, nsw,19010714,5972566
 ethan, goode,262, minnett close, , prospe ct,3550, nsw,19830302,9757237
 amy, masno,279, casuarina street, memorial hoyspital, bundaberg,3056, vix,19211126,4368305
 dylan, laucht,14, hoddle garden, oakabnk, oakey,5051, vic,19600107,2156016
 tristan, thonan, , solly place, leisure living vlge, booragul,3356, vic,19640221,9034172
 natassia, horslety,12, tanumbirini street, alabama, numeralla,4573, vic,19721029,9492580
 shawn, boothroyd,19, melrose drive, , oak park,2166, sa,19700418,8329531
 white, arc hie,19, kernot sgreet, ingevl ae, corndalw,2260, sa,19560508,5801177
 rachel, donaldson,9, lee-steere crescent, lake kenn eyd street, sunshine,3175, nsw,19581218,2248813
 hol ly, campbell,4, syme crescent, ahwahmee, hamilton,4868, nsw,19160516,7267433
 tillr, robert,14, parfitt crscent, mariner views, ringwood,2540, wa,19590714,1579290
 erin, clarke,96, teakle place, , granville,3040, wa,19170313,8286533
 emiily, jeffreis,39, oxley street, paddy, blair athol,4051, wa,19250402,9596327
 philip, hyla nd,77, lightfootgcrescent, remo, ashwood,4102, vic,19071218,7390839
 phoenix, pinzon,205, hawker syreet, scottish masonic village, carina yeights,6062, wa,19290505,1130499
