first_name,last_name,street_num,address_1,address_2,suburb,postcode,state,DOB,SSN
 blake, smithson,31, cavanaugh street, holmleigh, canley vale,4170, wa,19550815,2675546
 luke, seng,30, glossop crescent, craigston, megan,4812, vic,19980906,7108946
 jordan, noble,4, kosciusko avenue, st francis vlge, surry hills,2170, wa,19270820,7231665
 lily, matthews,6, gilmore crescent, masonic memorial village, ,3880, vic,19960620,8250432
 pace, nguyen,352, marquet retreat, joint coal board, labrador,3064, sa,19670320,3133672
 jackson, edgecombe,3, ranken place, johamenline, bonython,5167, wa,19970731,5991164
 molly, hannagan,15, pickworth street, the stockyards, ballarat,6027, nsw,19241115,9178151
 talia, bramble,5, wattle street, taree caravn park, north bondi,5074, vic,19090623,2565238
 elijah, green,76, lane-poole place, rosetta village, malvern,3337, vic,19910131,7588197
 eden, crossman,26, michael holt crescent, scenic lodge, peakhurst,2200, wa,19240123,9861015
 louise, campbell,42, melrose drive, fairholme, king river,2066, qld,19931202,3214176
 caitlin, rider,73, morgan crescent, , oak flats,6330, vic,19580428,2527146
 emiily, witthoeft, , galmarra street, villa 5, kurri kurri,2065, nsw,19421209,5224776
 jairus, compton,92, huelin circuit, mamaregu, boyne island,2760, wa,19960806,1381082
 izaac, stubbs,158, serpentine street, grasmere park, magill,5290, nsw,19511101,8604811
 bethany, eyre,47, madigan street, , balhannah,3165, sa,19170606,5083160
 catherine, bishop,29, stapylton street, chain gate, box hill south,2260, vic,19410527,6228462
 , teague,38, emily bulcock crescent, locn 341, caulfield,2041, nsw,19900523,1754920
 joel, lamprey,12, twynam street, alanvale, revesby,2537, qld,19200815,2877737
 thomas, ryan,24, weavell place, coolalie, emerald,4280, vic,19970129,8879018
 brianna, ranson,143, scott street, blue hills, mitcham,4215, vic,19480409,2774725
 riley, okoniewski,91, howitt street, rp 24089, rylstone,6174, vic,19101121,1234018
 alessandra, eyles,10, loureiro street, rowethorpe, illabo,2014, nsw,19210630,7014716
 zane, tao,5, cromwell circuit, heversham, lalor,4825, nsw,19631204,7503892
 channing, richardon,8, de graaff street, wattle place, tuart hill,4551, nsw,19840528,8184905
 kailey, herbert,40, popplewell place, rp 24089, wahroonga,7470, vic,19381017,7131960
 maddison, longo,5, namadgi circuit, , kiels mountain,2261, qld,19050429,8559890
 william, minnican,10, tunney crescent, berkeley vlge, redbank plains,2835, qld,19530313,5016929
 bailey, meaney,82, miago court, uarah, mortlake,3156, qld,19880918,8223923
 alexander, vincent,51, gallagher street, top end, belmont,2333, qld,19150726,3732438
 kylie, seppelt,4, tanner place, wearmouth, modbury,4883, qld,19251024,3972497
 lucy, fitzpatrick,264, ainsworth street, the sarina centre, camden,3500, qld,19210222,6619346
 kayla, elrick,95, jardine street, banksia, catalina,2160, vic,19250202,6802075
 mattheo, godfrey,107, madigan street, tantallon, mayfield,2444, vic,19811231,1967139
 kaitlin, egan,28, hayward place, glentryst, geraldton,2074, vic,19410610,3120103
 lachlan, geduld,2, karrugang circuit, jacqoona station, mount eliza,4306, vic,19520703,3086091
 caitlin, harjanta,5, darling street, , wantirna,4404, act,19340210,4039838
 tyler, mcclelland,1, millen street, old post office, woy woy,2094, vic,19061004,8000542
 kiana, dixon,53, dugdale street, tremearne, ringwood north,2260, nsw,19120229,3234392
 hana, dudley,16, lochee place, portland house, rose bay,3085, nsw,19590211,3088000
 daniel, ryan,8, gordon close, blue springs, hamilton,6230, qld,19540105,3698795
 charlize, gani,95, bramston street, , modbury heights,5013, qld,19830412,1175982
 mikayla, siviour,2, steinwedel street, cherrybank, pymble,2037, vic,19850704,2668143
 abby, sporn,29, nivison place, key, joyner,2340, sa,19830505,5733964
 charlotte, baynes,156, bainton crescent, winton, malvern east,6111, nsw,19221231,7857555
 nicholas, de la cruz,1, pelsart street, rosetta village, vermont south,4017, vic,19180823,4669159
 aleisha, mason,120, appel crescent, gillin park, tanilba bay,3936, nsw,19860522,3858465
 william, lund,8, bridge street, pevensey, bowral,4350, qld,19211017,4144401
 adam, tuckwell,38, mcmillan crescent, banksia village, broome,5037, nsw,19960528,8397512
 rosie, brokenshire,34, antill street, hse 13, athelstone,2042, qld,19770815,3921318
 amy, seetoh,50, busby street, bellfield, st albans,2870, qld,19160523,4467636
 isabelle, coady,32, cooloola street, valencia park, samford,4012, nsw,19250322,2977259
 hari, warnock,8, jansz crescent, brentwood vlge, broadmeadows,2486, qld,19350219,7539077
 charles, rees,19, hobby place, locn 2557 talland, orange,6210, vic,19710428,6849799
 , greenland,3, dines place, bayford cottage, blue haven,2526, vic,19240628,5073770
 harrison, hoang,10, mccaughey street, winchester downs, preston,4226, vic,19360225,1076510
 jade, clarke,63, fred williams crescent, plainview, kitchener,3127, nsw,19350407,4177466
 michael, coulson,78, mackellar crescent, koah lodge, marsden,3564, vic,19680508,6597953
 eva, leppard, , kurrama close, casuarina village, port macquarie,5280, nsw,19370728,8035602
 thomas, matthews,144, medworth crescent, , booval,4502, nt,19630219,2894576
 alexandra, nguyen,44, colebatch place, langley flats, freshwater,3242, nsw,19511004,6416159
 matilda, bergsma,73, macrobertson street, derry lodge, greensborough,2076, wa,19880213,5520743
 joe, white,4, towers place, hybernia park, coolaroo,2066, vic,19851122,1899363
 mitchell, campton,37, watt place, merricroft, brandon,7270, nsw,19931028,2226898
 seth, moody,42, scantlebury crescent, the lodge, sippy downs,3156, vic,19270824,6853828
 abbey, rawlings,46, john young crescent, glen rock, eastwood,3144, qld,19861016,8663646
 harry, reid,15, kalgoorlie crescent, aldersyde estate, new town,2077, sa,19460708,5924879
 kaitlin, matthews,45, grote place, recreation camp, clifton,2024, vic,19960612,7208315
 mia, nguyen,30, hackett garden, calliope caravan park, wallsend,5608, wa,19350114,4435167
 shaun, campbell,37, mcginness street, bexley, tarnagulla,3802, vic,19831102,4088978
 ryan, verner,40, hyndes crescent, kurrajong, glenmore park,3730, qld,19901208,4388841
 darcy, ben-gurion,3, howitt street, arlington, ,3151, nsw,19691225,8281055
 imogen, green,1, trickett place, nullo mntain, coromandel valley,7027, ,19770615,3231911
 dean, eyles,18, busby street, wallsend delivery centre, highton,2450, vic,19491206,3878109
 connor, baillie,186, lambie place, , port lincoln,7303, qld,19670529,4702335
 abbey, stephenson, , duggan street, makowata siding, elwood,2095, nsw,19520731,3195277
 tori, reid,16, arthur circle, nowra mall, lalor,2176, vic,19570425,5350892
 keaton, webb,2, mckinley circuit, solitaire, lemon tree passage,3943, nsw,19940724,6702216
 noah, fusco,65, kruse place, the points holsteins, kununurra,3400, nsw,19490107,9136935
 harrison, blackwell,50, leist street, ruffenuff, christies beach,3977, vic,19570321,6072506
 hugo, sporn,150, clive steele avenue, kurrajong, peechelba,5212, qld,19420523,8443463
 grace, dolliver,28, geils court, north star resort, doyalson,5720, qld,19040326,8625522
 ruby, jesser,37, boult place, catumbel lodge, broadbeach waters,6230, nsw,19680506,3452449
 willow, gowling,39, hannaford street, the briar patch, moama,4570, vic,19690421,9703540
 jacob, ryan,5, wheeler crescent, melrose clinic, coolaroo,3198, nsw,19581209,8497762
 devan, riddell,33, mueller street, , thornleigh,2257, nsw,19391217,4921767
 cassidy, morrison,13, a'beckett street, argyle, ardeer,2518, nsw,19160403,6156712
 alissa, ryan,519, boobialla street, urimbirra, seaforth,6018, nsw,19990829,1669952
 jemima, apathy,79, , unfaan, dandenong north,3000, sa,19830719,6617205
 jock, clarke,8, heritage road, rocklea, manly vale,2540, vic,19000505,8245647
 shannon, grosskopf,71, noarlunga crescent, bunderry, tweed heads south,3690, vic,19530813,9233063
 oliver, verner,29, mcnicoll street, sunbury, berala,3175, vic,19160819,7677004
 madison, shepherd,18, ballumbir street, blue hills, corrimal,3168, wa,19170819,8120482
 sean, hewson,17, christmas street, champsaur, wantirna,2230, nsw,19180917,5004753
 oliver, berry,18, arthaldo court, kalang, bayview,3802, nsw,19720119,2589280
 william, parr,46, stieglitz circuit, , coromandel valley,6210, qld,19100815,1269870
 carlin, sherriff,190, hardman street, ocean park towers, cambridge,6059, vic,19651125,5986787
 tiana, bastiaans,34, decima circuit, karinya lodge, hallsville,4702, wa,19150613,1914490
 hannah, carbray,5, rawson street, cranbrook, mayfield,2032, wa,19170912,7822273
 jasmine, leditschke,195, manna close, killarney, baynton,7009, vic,19340207,7978445
 harry, whiteway,14, fernyhough crescent, c f village, loganholme,5062, wa,19310808,6408389
 riley, webb,5, dent place, , meadow springs,2226, wa,19161013,1897297
 harvey, webb,7, lindsay street, dovers flat, brighton,3139, nsw,19091228,6664660
 oakleigh, rundle,194, mcdowall place, tatyara, bridgeman downs,2259, nsw,19860110,9292818
 emiily, paterson,9, wiburd street, parraweena, colac,2021, qld,19881213,6732942
 chloe, condo,36, yabsley place, munmurra park, mackay north,5082, nsw,19170115,7153959
 mitchell, clarke,57, hurley street, weemilah, tallebudgera,4021, vic,19010403,4822857
 oliver, netteefold,35, alphard place, fairlight, semaphore park,3802, vic,19570625,4691024
 harrison, mcneill,1, geeves court, brannigans, highett,2319, qld,19280108,6287203
 chloe, imgraben,47, curlewis crescent, dragon rising, burleigh waters,2680, qld,19520516,6111417
 emma, webb,16, manning street, craiglee station, montmorency,6155, nsw,19560630,6562713
 amelie, lohe,107, coghill close, gurnamunya, port macquarie,2021, vic,19200613,6372043
 jordan, reimer,12, , brentwood vlge, avondale heights,2261, nsw,19010306,3313488
 juliana, dingo,2, lance hill avenue, rosemount, whitfield,4207, qld,19120203,3093917
 alyssa, pastars,9, southern cross drive, clarence chambers, thornbury,4659, nsw,19530614,3112840
 angelica, green,5, nash place, palm grove, vaucluse,5242, nsw,19051230,7491589
 jessica, boyes,27, molloy crescent, sec 1569, scarborough,4551, tas,19610514,7635289
 lachlan, matthews,6, mcmillan crescent, corcoran, miriam vale,2009, nsw,19420818,7138643
 zac, silo,2, medley street, gundaline, mitcham,2767, vic,19611116,4048723
 emiily, finlay,61, coranderrk street, john flynn medical centre, ulverstone,3043, vic,19070731,9964204
 riley, lamprey,22, embley street, , hinchinbrook,3199, vic,19851029,8710851
 brodie, alves,3, lort place, jillamtong, albury,2773, nsw,19591217,3058450
 neneh, wheatley,73, bunda street, , torquay,3844, nsw,19530310,6451877
 tara, wiseman,33, goldner circuit, underwood, monbulk,3816, qld,19581001,9605792
 jarryd, george,83, gilmore crescent, , wellard,3071, qld,19320810,4392990
 kyle, candida,26, spofforth street, pinecroft, clearview,3187, nsw,19001111,1796923
 lachlan, swoboda,14, sue geh circuit, shadoof lodge, katherine,4740, nsw,19931215,1635174
 haylee, metherell,16, lambrigg street, wacharoo, aspley,2209, qld,19050614,4025303
 kiera, everett,4, rohan rivett crescent, brindabella specialist centre, alice springs,5558, nsw,19371021,2315324
 lydia, mcglinn,42, federal highway, bessboro, noble park,4626, nsw,19840629,1700034
 samantha, mapstone,44, hutchins street, golden ponds resort, maitland,2076, sa,19941127,4499927
 , colpo,2, trigg place, southern cross, clarinda,6018, vic,19280716,4186527
 daniel, rafanelli,1, warragamba avenue, aptmnt 240, eight mile plains,3233, nsw,19450221,3820840
 riley, quilliam,12, hayden close, , north ryde,2450, nsw,19021008,2734415
 nicholas, kaukov,295, jervois street, dodonaea wing, wamberal,4077, qld,19070128,8401381
 samuel, kontopoulos,11, bamir square, pleasant view, carnegie,3631, vic,19870312,9712523
 madison, blake,17, owen crescent, pontresina, burraneer,4701, vic,19470410,6459959
 shai, leon,15, canopus crescent, grant hostel room, metung,2147, nsw,19230106,8789495
 joshua, avdic,8, archdall street, nioka, nunawading,3134, nsw,19200415,9571448
 connor, shepherd,7, bulloo place, , kangaroo flat,4621, wa,19681115,1737778
 lia, maynard,15, hensman street, under silos, modbury heights,3169, nsw,19250717,9947782
 annika, campbell,71, totterdell street, the mews royal hotel bldg, laverton south,4359, vic,19290222,3988407
 thomas, carmody,7, waugh close, kona, elwood,2066, vic,19540605,5434473
 samuel, neville,6, fitzmaurice street, karkatt, gilmore,2517, wa,19591005,2038776
 emiily, mees,31, campbell street, lingard, elwood,3805, wa,19301201,4611758
 charlotte, hathaway,5, hartung crescent, anzac house (cnr archer s street, broken hill,6060, qld,19740418,2652077
 liam, green,2, benny place, the gums, crescent head,3067, vic,19570330,7329507
 emiily, hewson,10, , the links, mount isa,5422, wa,19320504,6458398
 alexander, musolino,43, duggan street, the bend, kareela,2483, nsw,19850417,4595017
 jacob, delfos,61, morgan crescent, valicare, geurie,4557, act,19510208,4071052
 ebony, garcia,15, rylah crescent, brbe is retmt vlg, waratah west,7310, tas,19630715,9950832
 caitlin, rastar,595, la trobe close, cressy grove, byaduk,2207, ,19940531,2416013
 ella, malzard,4, namatjira drive, tolemac, armidale,4220, nsw,19381112,6513848
 gabrielle, telleglou,163, huelin circuit, the gorge portion, st johns park,2126, nsw,19820403,3405740
 , bennier,7, ruthven street, walnut grove estate, chinchilla,5723, qld,19910528,7222769
 mia, white,6, theodore street, lamington national, haddon,2905, nsw,19640403,5969084
 chloe, lazaraki,24, woollum street, , pymble,2321, nsw,19901223,8831246
 julia, jolly,59, a'beckett street, millwood, slacks creek,3020, nsw,19820807,7111279
 darcy, hamblin,28, goldfinch circuit, tarqua, geelong south,2320, wa,19141204,7758955
 emiily, benjamin,8, holman street, kersey' south, coutts crossing,2287, vic,19490214,7996561
 matteus, monda,54, burrinjuck crescent, sherwood, auburn,3345, nsw,19041125,9464025
 hannah, candida,48, santalum street, moorabee, ,2030, vic,19210519,9787204
 madison, hawes,123, vasey crescent, canberra hse, kellyville,3194, nsw,19360628,2097590
 lauren, ,42, moore street, jormaizee, mullaloo,3182, sa,19600314,2240511
 holly, spratt,133, spafford crescent, , st clair,3337, nsw,19130210,9895857
 kyle, irons, , fernyhough crescent, openshaw, bundaberg,2611, qld,19060519,9565296
 madeleine, birthisel, , marulda street, nunkeri, abbotsford,2820, vic,19960805,7177159
 brooke, clarke,4, namadgi circuit, emerald garden, ascot vale,5031, vic,19430823,6719097
 daniel, heron,2, gaunson crescent, munmurra park, jesmond,2456, nsw,19091018,9362456
 makayla, thredgold,9, chillagoe street, west road, campbellfield,5107, nsw,19530218,5691229
 lachlan, meeking,20, whitford place, westella, kyabram,2148, vic,19580816,8359944
 mikhaili, appletree,20, mcwhae circuit, crannog, jacana,4115, vic,19061023,9563099
 mitchell, campbell,28, pokana circuit, , dickson,5097, qld,19950311,7753298
 marcus, marris,35, heard street, rmbh 884, lilydale,5352, vic,19671112,2643005
 jacqueline, macphail,65, maddigan street, oxonia, canterbury,2611, wa,19350403,8001638
 zane, webb,21, mackinolty street, mayflower retrmnt vlge, ganmain,6018, vic,19190523,1897310
 hannah, bennell,154, southwood retreat, walkers orchard, wheeo,4118, qld,19830601,2694324
 jasmine, matthews,25, osburn drive, marathon mews, burwood,3185, wa,19691211,9299325
 chelsea, ryan,13, myles close, , stonyfell,5159, nsw,19510812,5489594
 nicholas, cochrane,845, olney place, , edithvale,2450, vic,19260717,9800269
 campbell, nguyen,6, diselma place, villa 2, collinswood,4343, nsw,19630325,2861961
 dimitri, kowald,5, watson street, sec 791, alice springs,2430, sa,19510207,1597094
 joshua, baillie,8, de baun crescent, , bonython,2173, qld,19650415,6504350
 madeline, zbierski,31, newman morris circuit, nedlyn, westmead,2087, nsw,19801012,6366322
 kynan, beattie,9, narrabundah lane, banana shed, ferndale,2680, nsw,19170712,4383141
 jeremy, matthews,70, spensley place, pandora orchard, cecil park,3030, act,19700526,6692221
 april, mcgregor,4, launceston street, hawkins masonic vlge, kardinya,2207, wa,19541028,8809810
 joshua, clarke,1, savery street, bexley, carnegie,3028, sa,19011101,7741570
 willow, tsolakis,35, elsey street, kempfield, low head,6169, vic,19200916,1293288
 maddison, fullgrabe,44, scarlett street, allunga, forest glen,5070, qld,19110327,3898794
 melinda, trent,28, dugdale street, kilwinning, penshurst,4556, qld,19240721,5930609
 matthew, priest,310, benson crescent, glenhurst, tarragindi,4124, qld,19860226,2553510
 bethany, large,9, hayball place, hawkhurst cottage, mount stuart,6017, nsw,19541211,6608468
 lachlan, crook,16, nardoo crescent, , campbelltown,2325, nsw,19010124,2308429
 shane, goldsworthy,9, starritt place, woodsong, new town,6055, wa,19111223,5363583
 dominic, woodmansee,500, sculptor street, calleen farm, punchbowl,6111, nsw,19170707,4369787
 georgia, rees,40, maclaurin crescent, spring creek, fullarton,6233, nsw,19210305,5595588
 chloe, vincent,196, miller street, rosehill, wallsend,2745, wa,19140726,4286524
 joshua, heron,23, dooring street, drypoint, barraba,4214, nsw,19700227,6931228
 pino, shepherd,55, warragamba avenue, pineview farm, sale,5608, vic,19100226,5952587
 matthew, sincovich,95, grylls crescent, , barrack heights,4221, nsw,19600731,4440480
 jordan, george,114, rapanea street, peechabella, maryborough,4123, vic,19951020,4523010
 tara, maczkowiack,24, kleinig street, brentwood village, kennington,3058, nsw,19490204,3912484
 cameron, kouimanis,51, nulsen circuit, , tecoma,3931, qld,19671009,1274183
 brayden, pragt,24, melba street, villa 3, st ives,5171, nsw,19561029,7716405
 , bazley,14, pennefather street, the willows, greensborough,4209, wa,19110509,7072734
 sarah, paterson,57, gingana street, st francis village, williamstown,2784, wa,19011215,6278915
 sophie, morrison,11, waller crescent, hmas cerberus, loganlea,3175, vic,19420302,7721195
 eliza, vimpany,113, renwick street, lakeview caravn park, st ives,4730, qld,19070323,2705720
 tabitha, prytula,2, totterdell street, rsde 817 wallace, nabawa,4017, sa,19930102,4076797
 kristen, godfrey,48, dumas street, dromard, bray park,4157, sa,19700425,5874139
 lara, dunis,7, rodda place, dry rush, casino,4170, nsw,19580928,2469542
 katelin, campbell,16, sid barnes crescent, , forestdale,2450, wa,19240716,7296237
 alicia, fardell,63, reveley crescent, pint pot, sunshine beach,2203, nsw,19471004,7172127
 xani, andrae,20, wade street, myona, noble park,2105, vic,19450312,4709521
 vanessa, bishop,7, kanooka street, dallyn, cooran,2157, wa,19130914,3823695
 jade, stanley,4, baracchi crescent, mlc centre, cranbourne,6111, nsw,19480216,3818853
 lachlan, verco,266, bursaria street, terara house, macgregor,4109, nsw,19830103,8260739
 tiarna, croker,3, roope close, westport, preston west,3318, ,19460426,9509846
 liam, rollins,30, lampard circuit, erinmoore, clayton,2445, ,19690515,2549634
 rhys, mason,49, geils court, banksia village, maryborough,5066, wa,19000608,7868339
 matthew, tombleson,10, ross smith crescent, corandirk, broken hill,3046, nsw,19410702,4972641
 rachel, coffey,99, dampier crescent, katimba, ashfield,6152, vic,19300416,7093245
 juliana, clarke,24, jondol place, northwood park, holsworthy,4067, nsw,19970330,5071393
 samuel, degeorge,2, jefferis street, dorothy genders vlge, nedlands,2206, vic,19510912,1167786
 naomi, bishop,40, zox circuit, anzac house (cnr archer s street, lismore,2168, vic,19771008,3069847
 calvin, goode,12, chapman street, gleneagle, kings cross,5048, qld,19510916,2447062
 madison, van tuil,39, vonwiller crescent, wentworth house, coombabah,3094, qld,19110716,8651342
 ruby, nguyen,4, wheatley street, glenfyne angus stud, keilor east,6008, wa,19400526,8118562
 john, cosenza,54, wentworth avenue, stoney creek, st kilda,4305, nsw,19800116,5521510
 harrison, coulson,119, backler place, , toowoomba,4350, vic,19300517,5222388
 nikita, green,4, greenough circuit, glenmarla rmb 2563, elizabeth south,2540, nsw,19941002,8531091
 lachlan, rau,68, loxton place, montrose, dederang,3377, wa,19260502,1638351
 james, hebberman,26, phillis place, twenty-third avenue pharmacy (cnr mawarr, ettalong,2326, vic,19760410,1748689
 ella, chudzinski,7, carter crescent, alice downs, caulfield,7008, qld,19321101,4473731
 amber, ryan,24, mcgill street, sapama park, boulder,2390, nsw,19321018,5050790
 jack, coleman,7, cumming place, rio rita caravn park, dandenong north,6026, sa,19560223,9860608
 luke, verrion,32, mcclintock street, silverdale south, carlingford,880, nsw,19301223,6708080
 william, gohl,378, charlton street, toomba, kellyville,3058, vic,19030711,1291827
 kade, white,14, morduant place, collaroy, ringwood,3356, vic, ,5013199
 matisse, geissmann,10, bootle place, , yarramalong,5607, nsw,19080212,7779910
 briley, sheldon,16, ellerston avenue, melaleuca, hamilton,4226, vic,19200327,8538359
 lachlan, godfrey,45, lienhop street, sorrento, lalor,2350, sa,19080429,9107241
 ty, bradshaw,12, greenhood place, conmurra, lauderdale,3146, qld,19630327,7145468
 jacob, campain,7, logan street, bimbadoon, toowoomba,4551, qld,19520416,1591935
 keely, harrington,296, brickhill place, henry kendall hostel, menindee,2830, nsw,19330913,1759909
 lara, musolino,26, steinfeld court, table mountain, moree,3134, wa,19381019,4887522
 benjamin, green,78, jennings street, botin, terranora,6009, vic,19681029,4718046
 sara, karlsen,6, tarrant crescent, kia-ora cottage, parmelia,2154, vic,19520602,6200753
 dominic, jormanainen, , geeves court, greta main, ,6025, vic,19880214,7639310
 jessica, ditty,22, dunlop street, oak-lodge, bundaberg,3183, nsw,19500328,6813350
 isabella, lowe,18, wolff crescent, learmont, sylvania,2032, nsw,19771116,5672191
 sarah, roller, , wrixon street, weddinview, kedron,4306, qld,19190420,4429848
 jessica, maynard,26, archdall street, alchera vlge, bourke,3141, nsw,19471209,7562694
 oakleigh, hoang,72, la perouse street, tiverton, wyong,4817, tas,19680324,6697687
 robbie, lowe,27, woolnough street, tintagel, armidale,4558, nsw,19680428,6788571
 caleb, spurden,119, mcalpine place, greenslopes, boyne island,4228, sa,19580816,8017617
 rachel, deakin,1748, hugh mckay crescent, stockwell hotel, inverleigh,5268, wa,19400613,7083021
 jack, moscatt,15, hosking place, , st kilda east,2600, vic,19611218,2565922
 pino, snelling,82, fitzalan street, torrington, avondale heights,2170, nsw,19380415,6497858
 schkirra, ryan,1, dumas street, baringa orthopaedic centre, frankston,3028, vic,19520108,1566350
 lucas, coffey,16, halifax close, links court (cnr susanne s street, south maclean,4211, sa,19950414,5174809
 meg, herbert,162, callister crescent, villa 2, burrum heads,3078, sa,19101126,6887725
 aleesha, reid,21, cadell street, eventide homes, trafalgar,2582, vic,19840824,6890084
 connor, carbone, , willyama place, kalooca, buddina,2700, nsw,19090228,1119288
 rosie, plane,29, porteous crescent, , black rock,2062, vic,19630926,7058877
 steven, pokkias,407, may maxwell crescent, ardonachie, dalveen,5064, wa,19350305,2928326
 beth, webb,10, doutney place, parkridge villa, leichhardt,2880, vic,19761122,2024248
 raquel, mason,17, , , ,3225, qld,19341010,1823323
 riley, noble,17, thake place, station homestead, matraville,5032, wa,19600221,8713309
 koula, houweling,3, mileham street, old airdmillan road, williamstown,2350, nsw,19440718,6375537
 braedon, bindoff,484, eve place, moreton, hamilton,2099, nsw, ,7181006
 nicholas, dixon,60, archibald street, , dalyston,2154, vic,19230212,6851976
 lucy, lavokovic,8, hobart place, public school reserve, vermont south,2761, sa,19900925,4722145
 olivia, white,10, spafford crescent, clear creek, pakenham,4059, nsw,19480205,7285108
 kane, nguyen,47, ranken place, gumnut cottage, dapto,5107, qld,19850120,9212538
 riley, grubb,377, abercrombie circuit, lapstone, burwood,6330, vic,19040327,2728675
 benjamin, kerslake,6, mcdonnell close, bethany, chester hill,2199, nsw,19571214,3250168
 connor, bishop,450, earle street, coorrabin, broken hill,7320, vic,19261223,7015666
 harry, blake,36, cowlishaw street, sommerset park, kahibah,3073, qld,19521004,2348791
 aaron, barsoum,46, ashby circuit, moodwood angus stud, kangaroo flat,6012, nsw,19730330,9626981
 , faehse,65, henry melville crescent, goonahra, wanniassa,2173, vic,19490602,9923153
 kate, garden,9, bettington circuit, robinson road, rochester,3121, nsw,19021008,8610454
 amber, kerslake-ling,5, glencross street, lumley, ballarat,4817, sa,19031228,1079968
 noah, stephenson,1, vagabond crescent, , northbridge,3166, nsw,19511016,4406709
 noah, staude,25, mac george place, locn 8200, stratford,6011, wa,19760505,9182953
 jacob, webb,6, majura road, moline village, ashfield,4352, tas,19470221,1586712
 nicholas, coffey,41, disney court, siesta caravn park, coonabarabran,2428, act,19960110,9358749
 samuel, bottroff,23, mclarty court, cherrybank, port macquarie,6024, sa,19420214,5990041
 sophie, colquhoun, , solomon crescent, villa 3, whittington,3223, nsw,19111219,8261379
 alexandra, bishop,2, black street, leetsvale caravan park, huonville,3885, nsw,19610813,8253150
 joel, shepherdson,515, elvire place, glanworth station, mayfield,2000, vic,19250903,9617566
 matthew, bissett,11, cowcher place, kassingbrook, surfers paradise,4037, vic,19121107,5435247
 nathan, sells,2, vickery street, yachting towers, magill,3223, nsw,19240701,6367815
 , allard,26, dyring place, retirement village, south perth,4852, nsw,19491011,9472794
 jasmine, mariager,21, medley street, pine hill, evans head,4020, nsw,19180202,1051531
 katie, fitzpatrick,37, duffy street, donore, hurlstone park,6108, vic,19380621,7125161
 coby, lukeman,26, hiles place, cherry haven, rosebery,3122, nsw,19040306,3163493
 jayme, frew,18, la trobe close, water fall, ballarat,2540, vic,19960831,7540258
 thomas, butt, , hindmarsh drive, mayflower retrmnt vlge, currans hill,3799, qld,19290620,2143953
 kyle, hawes,6, len waters street, castlewood, greensborough,3171, nsw,19090430,5553221
 william, hare,10, steffanoni circuit, benbullen lowline stud, ranelagh,3148, nsw,19260501,1891847
 , sherriff,97, rischbieth crescent, berkeley vlge, macquarie fields,4152, nsw,19510502,1541627
 cooper, rovira,19, maclaurin crescent, suunybrae, broken hill,3144, qld,19121113,8734370
 joshua, clarke,100, hurley street, phoenix park stud, nollamara,2145, vic,19340629,1162090
 macey, pascoe,9, macrobertson street, diamond water cvn, highett,7320, nsw,19470710,5499383
 eliza, berry,25, shout place, jingara, eaglehawk,2229, nsw,19381031,3608034
 hayden, needham,1, daintree crescent, kiouwa, corrimal,3218, nsw,19020930,4674771
 ruby, rogan,6, guthridge crescent, eldeslee vlge, parkside,6050, vic,19050201,6557114
 jamie, wojciechowski,13, crofts crescent, rosetta village, meringandan,2095, qld,19241023,7357292
 nicholas, donaldson,8, stobie place, heritage manor est, newcomb,4104, sa,19051119,3361470
 toby, quill,5, anembo street, sect 329, strathalbyn,5253, vic,19380703,6115722
 sonja, clarke,7, carrington street, la rhune, coolaroo,6317, vic,19750513,4511800
 ava, ryan,59, gratton place, corella, noble park,4184, vic,19710805,9223546
 tynan, ,2, galleghan circuit, , wakeley,4655, wa,19800407,1022048
 kaitlin, goldsworthy,11, , poitrel, thirroul,2035, nsw,19640517,9127277
 paige, di cesare,8, tardent street, apt 27, balwyn north,4560, vic,19791223,6112690
 madison, struck,40, drake brockman drive, eden park, st albans,4218, nsw,19600814,8963800
 william, edson, , fitzhardinge crescent, windy gully, ashwood,3078, nsw,19530403,3148460
 benjamin, donnolley,29, downward place, ocean star villas, downer,7320, vic,19881009,7579389
 hayley, blake,4, dickson chiropractic dickson chambers, goughs bay, coffs harbour,3079, qld,19391107,1285867
 emiily, reid,24, luehmann street, tawonga rdside, rose bay,2350, nsw,19190825,2408163
 timothy, jolly,13, mcmahon court, callatoota, hill end,3075, nsw,19721103,3751485
 joshua, webb,1, perry drive, shire clerk, greenwood,2583, wa,19411204,7883180
 jason, mcmullen, , musgrave street, black creek, ingham,2820, qld,19280901,4547398
 jordan, ryan,5, schutt street, euroka, o'connor,4306, vic,19030111,1659852
 jasper, kuiters,109, ellenborough street, kalinda park, burwood east,3180, qld,19280512,9150558
 phillip, nguyen,83, clark place, wollongbar, st kilda,3808, nsw,19351123,9799704
 jack, browne,80, bargang crescent, tulgeywood, carlingford,3163, qld,19131123,2843200
 jake, elphick,26, olympus way, melita, burnett heads,2064, qld,19070201,4724453
 kyle, lowe,21, bungonia street, eight mile, loftus,4868, qld,19821215,7416603
 noah, bishop,23, shannon circuit, eriswell park, south perth,4551, nsw,19210214,5100494
 madelyn, blizard,6, southwood retreat, hoxton park, northgate,2067, vic,19540215,2341148
 jacob, callahan,107, lyrebird place, , burwood,6152, wa,19220110,4360694
 karla, wilkins,66, clifford crescent, talgarth, oatlands,2323, nt,19590520,3511629
 garth, clarke,11, yampi place, thistledoo, noble park,5608, vic,19760322,9574946
